Timestamp, pos_x, pos_y, pos_z, cam_qx, cam_qy, cam_qz, cam_qw, ss_qx, ss_qy, ss_qz, ss_qw, gyro_x, gyro_y, gyro_z, acc_x, acc_y, acc_z, mag_x, mag_y, mag_z, stillness, isTracked
0, 0.3047695, -0.3727283, 1.15991, 0.001797833, -0.01936626, 0.01514297, 0.9996963, 0.000767542, -0.02943014, -0.0004017688, 0.9995664, -0.006108472, 0.009773556, 0.003665083, 0.01074219, 1.017334, -0.0002441406, -0.0324371, -0.2325401, 0.2324429, 0.9704376, 1
8, 0.304772, -0.3727497, 1.159932, 0.001828127, -0.01934906, 0.01519595, 0.9996956, 0.000767542, -0.02943014, -0.0004017688, 0.9995664, -0.006108472, 0.009773556, 0.003665083, 0.01074219, 1.017334, -0.0002441406, -0.0324371, -0.2325401, 0.2324429, 0.9704376, 1
16, 0.304767, -0.3727363, 1.159904, 0.001849838, -0.01936446, 0.01520504, 0.9996951, 0.000767542, -0.02943014, -0.0004017688, 0.9995664, -0.006108472, 0.009773556, 0.003665083, 0.01074219, 1.017334, -0.0002441406, -0.0324371, -0.2325401, 0.2324429, 0.9704376, 1
25, 0.3047744, -0.3727291, 1.159908, 0.001806939, -0.01936359, 0.01520764, 0.9996952, 0.000767542, -0.02943014, -0.0004017688, 0.9995664, -0.006108472, 0.009773556, 0.003665083, 0.01074219, 1.017334, -0.0002441406, -0.0324371, -0.2325401, 0.2324429, 0.9704376, 1
33, 0.304781, -0.3727263, 1.15991, 0.001826343, -0.0193622, 0.01518186, 0.9996956, 0.000767542, -0.02943014, -0.0004017688, 0.9995664, -0.006108472, 0.009773556, 0.003665083, 0.01074219, 1.017334, -0.0002441406, -0.0324371, -0.2325401, 0.2324429, 0.9704376, 1
41, 0.3047793, -0.3727356, 1.159901, 0.001827904, -0.01935077, 0.01518993, 0.9996958, 0.000767542, -0.02943014, -0.0004017688, 0.9995664, -0.006108472, 0.009773556, 0.003665083, 0.01074219, 1.017334, -0.0002441406, -0.0324371, -0.2325401, 0.2324429, 0.9704376, 1
49, 0.3047908, -0.3727461, 1.159927, 0.001822055, -0.01937354, 0.01519071, 0.9996952, 0.000767542, -0.02943014, -0.0004017688, 0.9995664, -0.006108472, 0.009773556, 0.003665083, 0.01074219, 1.017334, -0.0002441406, -0.0324371, -0.2325401, 0.2324429, 0.9704376, 1
58, 0.3047856, -0.3727396, 1.159924, 0.00183166, -0.01936567, 0.01515697, 0.999696, 0.000767542, -0.02943014, -0.0004017688, 0.9995664, -0.006108472, 0.009773556, 0.003665083, 0.01074219, 1.017334, -0.0002441406, -0.0324371, -0.2325401, 0.2324429, 0.9704376, 1
66, 0.3047814, -0.3727252, 1.159897, 0.001826991, -0.01936897, 0.01518701, 0.9996954, 0.000767542, -0.02943014, -0.0004017688, 0.9995664, -0.006108472, 0.009773556, 0.003665083, 0.01074219, 1.017334, -0.0002441406, -0.0324371, -0.2325401, 0.2324429, 0.9704376, 1
76, 0.3047837, -0.3727441, 1.159915, 0.001810457, -0.01934138, 0.0151823, 0.999696, 0.000767542, -0.02943014, -0.0004017688, 0.9995664, -0.006108472, 0.009773556, 0.003665083, 0.01074219, 1.017334, -0.0002441406, -0.0324371, -0.2325401, 0.2324429, 0.9704376, 1
83, 0.3047897, -0.3727458, 1.159921, 0.001820646, -0.01935175, 0.01517317, 0.999696, 0.000767542, -0.02943014, -0.0004017688, 0.9995664, -0.006108472, 0.009773556, 0.003665083, 0.01074219, 1.017334, -0.0002441406, -0.0324371, -0.2325401, 0.2324429, 0.9704376, 1
92, 0.3047864, -0.3727248, 1.159893, 0.001847486, -0.01935009, 0.01519162, 0.9996957, 0.000767542, -0.02943014, -0.0004017688, 0.9995664, -0.006108472, 0.009773556, 0.003665083, 0.01074219, 1.017334, -0.0002441406, -0.0324371, -0.2325401, 0.2324429, 0.9704376, 1
99, 0.3047815, -0.3727236, 1.159903, 0.001782032, -0.0193521, 0.01513955, 0.9996966, 0.000767542, -0.02943014, -0.0004017688, 0.9995664, -0.006108472, 0.009773556, 0.003665083, 0.01074219, 1.017334, -0.0002441406, -0.03308608, -0.2332466, 0.2326197, 1, 1
108, 0.3047788, -0.3727393, 1.159906, 0.001854204, -0.01935972, 0.01520928, 0.9996951, 2.58254E-05, -6.038823E-05, -2.988242E-05, 0.9999998, -0.007330167, 0.004886778, 0.003665083, 0.01000977, 1.009766, 0.001708984, -0.03308084, -0.233227, 0.2329021, 0.9977866, 1
117, 0.3047647, -0.37275, 1.15992, 0.001829205, -0.01937633, 0.01517652, 0.9996955, 5.441751E-05, -6.792269E-05, -9.357464E-06, 0.9999999, -0.01710372, 0.008551861, -0.01954711, 0.01000977, 1.010498, -0.003417969, -0.03315257, -0.2332105, 0.2329887, 1, 1
125, 0.3047521, -0.3727362, 1.159912, 0.001821724, -0.01937036, 0.01521199, 0.999695, 2.484275E-05, -7.040359E-05, -7.848348E-05, 0.9999997, -0.01099525, 0.004886778, 0.003665083, 0.008789063, 1.008545, 0.002441406, -0.03315257, -0.2332105, 0.2329887, 1, 1
133, 0.3047513, -0.3727339, 1.159915, 0.001806586, -0.01937018, 0.01518617, 0.9996955, 4.578391E-05, -0.0001171253, -8.342229E-05, 0.9999998, 0.006108472, 0.002443389, 0.001221695, 0.01293945, 1.012939, 0.00390625, -0.03314896, -0.233086, 0.2329269, 0.9878817, 1
141, 0.3047691, -0.3727379, 1.159903, 0.001878321, -0.01935524, 0.01516679, 0.999696, 8.285193E-05, -0.00010132, -3.820378E-05, 0.9999998, 0.009773556, 0.02687728, -0.003665083, 0.01269531, 1.012939, 0.0002441406, -0.0330578, -0.2328394, 0.2326942, 0.9879242, 1
149, 0.3047879, -0.3727307, 1.159894, 0.001818131, -0.01932084, 0.01515731, 0.9996969, 8.285193E-05, -0.00010132, -3.820378E-05, 0.9999998, 0.009773556, 0.02687728, -0.003665083, 0.01269531, 1.012939, 0.0002441406, -0.0330578, -0.2328394, 0.2326942, 0.9879242, 1
158, 0.304808, -0.3727233, 1.159914, 0.001861888, -0.0193651, 0.01519403, 0.9996953, 0.0001280923, -8.911084E-05, -6.150454E-06, 0.9999998, -0.01099525, 0.002443389, 0.004886778, 0.01489258, 1.010498, 0.003417969, -0.03309665, -0.2331286, 0.2326223, 0.9976845, 1
179, 0.3048037, -0.3727256, 1.159906, 0.001830812, -0.01932766, 0.01517904, 0.9996963, 0.0001365609, -0.0001094883, -7.659663E-06, 0.9999998, -0.008551861, 0.01343864, -0.008551861, 0.01000977, 1.011719, 0, -0.03326387, -0.2331748, 0.2330639, 0.9959741, 1
182, 0.3047879, -0.3727344, 1.1599, 0.001840815, -0.01932768, 0.01515158, 0.9996967, 0.0001415335, -9.685085E-05, -1.711119E-05, 0.9999998, -0.01466033, 0.02687728, 0.01221694, 0.006347656, 1.010986, -0.0007324219, -0.03326387, -0.2331748, 0.2330639, 0.9959741, 1
185, 0.3047686, -0.3727466, 1.159899, 0.001816662, -0.01932135, 0.01515668, 0.9996968, 0.0001415335, -9.685085E-05, -1.711119E-05, 0.9999998, -0.01466033, 0.02687728, 0.01221694, 0.006347656, 1.010986, -0.0007324219, -0.03326387, -0.2331748, 0.2330639, 0.9959741, 1
191, 0.3047592, -0.3727332, 1.159896, 0.001877901, -0.01933233, 0.01518102, 0.9996961, 0.0001116561, -3.582377E-05, 5.040318E-05, 0.9999999, -0.009773556, 0.03054236, 0.009773556, 0.01196289, 1.011475, 0.0004882813, -0.03298549, -0.2330756, 0.2329751, 0.9938183, 1
